Dehashed name,WEM name (English),WEM name (日本語)
addkizunatalk003_0140,695771242.wem,450918366.wem
addkizunatalk003_0150,331307919.wem,361338165.wem
addkizunatalk003_0160,726847203.wem,831543720.wem
addkizunatalk003_0170,639548761.wem,921928305.wem
addkizunatalk003_0180,720026377.wem,84447014.wem
addkizunatalk003_0190,988451000.wem,673613393.wem
addkizunatalk003_0200,699276550.wem,652604086.wem
addkizunatalk003_0210,498184452.wem,879062982.wem
addkizunatalk003_0220,501844947.wem,426018558.wem
addkizunatalk003_0230,374901187.wem,783787155.wem
addkizunatalk003_0240,233371651.wem,361788377.wem
addkizunatalk003_0250,345468631.wem,64557727.wem
addkizunatalk003_0260,863785369.wem,850765083.wem
addkizunatalk003_0270,426224305.wem,579999765.wem
addkizunatalk003_0280,985698656.wem,391974437.wem
addkizunatalk003_0290,166193067.wem,271032599.wem
addkizunatalk003_0300,637450341.wem,814886933.wem
addkizunatalk003_0310,954614184.wem,559089083.wem
addkizunatalk003_0320,310560412.wem,500139135.wem
addkizunatalk003_0330,864700313.wem,162292138.wem
addkizunatalk003_0340,872227945.wem,802207099.wem
addkizunatalk003_0350,1052401425.wem,430918639.wem
addkizunatalk003_0360,171231244.wem,474979007.wem
addkizunatalk003_0370,10473949.wem,409191232.wem
addkizunatalk003_0380,833327964.wem,978076963.wem
addkizunatalk003_0390,357191000.wem,57492610.wem
addkizunatalk003_0400,1053320629.wem,234909597.wem
addkizunatalk003_0410,403180177.wem,428092761.wem
addkizunatalk003_0420,1029552873.wem,456006050.wem
addkizunatalk003_0430,844979323.wem,720335710.wem
addkizunatalk003_0440,324791989.wem,926182103.wem
addkizunatalk003_0450,481118612.wem,962953704.wem
addkizunatalk003_0460,372529205.wem,1027943199.wem
addkizunatalk003_0470,551084736.wem,9081330.wem
addkizunatalk003_0480,457037669.wem,404444751.wem
addkizunatalk003_0490,681943667.wem,635976784.wem
addkizunatalk003_0500,346528794.wem,825556146.wem
addkizunatalk003_0510,425036787.wem,1018614112.wem
addkizunatalk004_0010,819522656.wem,979618093.wem
addkizunatalk004_0020,772020774.wem,690785850.wem
addkizunatalk004_0030,640239003.wem,230280923.wem
addkizunatalk004_0040,146545421.wem,802566971.wem
addkizunatalk004_0050,261882170.wem,988979207.wem
addkizunatalk004_0060,860468876.wem,721402443.wem
addkizunatalk004_0070,156057292.wem,232176517.wem
addkizunatalk004_0080,564609984.wem,244695901.wem
addkizunatalk004_0090,810204553.wem,532368949.wem
addkizunatalk004_0100,977199162.wem,478141358.wem
addkizunatalk004_0110,298126517.wem,698758820.wem
addkizunatalk004_0120,295499727.wem,522755156.wem
addkizunatalk004_0130,1009473689.wem,292913946.wem
addkizunatalk004_0140,166469259.wem,808121421.wem
addkizunatalk004_0150,554871355.wem,489147362.wem
